date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time
2022-11-01,ANE58NN,IB8713,344197,CRJX,PAX,EC-LOV,ANE,YW,Air Nostrum,EDDF,LEMD,FRA,MAD,2022-11-01 05:30:00.000000 UTC,2022-11-01 08:20:00.000000 UTC
2022-11-01,IBS3692,IB3692,34644E,A21N,PAX,EC-NJI,IBS,I2,Iberia Express,LEMD,EGCC,MAD,MAN,2022-11-01 12:05:00.000000 UTC,2022-11-01 14:35:00.000000 UTC
2022-11-01,AFR065,AF65,394A18,B77W,PAX,F-GSQY,AFR,AF,Air France,KLAX,LFPG,LAX,CDG,2022-10-31 23:25:00.000000 UTC,2022-11-01 10:15:00.000000 UTC
2022-11-01,TVF3123,TO3123,3964F0,B738,PAX,F-GZHQ,TVF,TO,Transavia France,GMMX,LFPO,RAK,ORY,2022-11-01 06:00:00.000000 UTC,2022-11-01 09:20:00.000000 UTC
2022-11-01,EWG78P,EW2757,3C09F2,A319,PAX,D-ASTX,EWG,EW,Eurowings,LOWW,EDDS,VIE,STR,2022-11-01 19:00:00.000000 UTC,2022-11-01 20:15:00.000000 UTC
2022-11-01,TUI2JA,X32119,3C0CA3,B738,PAX,D-ATUK,TUI,X3,TUIfly,GCTS,EDDL,TFS,DUS,2022-11-01 17:10:00.000000 UTC,2022-11-01 21:45:00.000000 UTC
2022-11-01,TUI1CG,X32149,3C0CA6,B738,PAX,D-ATUN,TUI,X3,TUIfly,GCFV,EDDV,FUE,HAJ,2022-11-01 16:15:00.000000 UTC,2022-11-01 20:55:00.000000 UTC
2022-11-01,EWG1ZK,EW9217,3C4895,A320,PAX,D-ABDU,EWG,EW,Eurowings,ESSA,EDDL,ARN,DUS,2022-11-01 08:35:00.000000 UTC,2022-11-01 10:45:00.000000 UTC
2022-11-01,DLH972,LH972,3C5466,E190,PAX,D-AECF,CLH,CL,Lufthansa CityLine,EDDF,EGGD,FRA,BRS,2022-11-01 14:45:00.000000 UTC,2022-11-01 16:25:00.000000 UTC
2022-11-01,DLH8YX,LH1636,3C5466,E190,PAX,D-AECF,CLH,CL,Lufthansa CityLine,EDDF,EGBB,FRA,BHX,2022-11-01 15:45:00.000000 UTC,2022-11-01 17:20:00.000000 UTC
2022-11-01,DLH882,LH882,3C6545,A20N,PAX,D-AIJE,DLH,LH,Lufthansa,EDDF,EETN,FRA,TLL,2022-11-01 12:55:00.000000 UTC,2022-11-01 15:15:00.000000 UTC
2022-11-01,DLH441,LH441,3C6571,A333,PAX,D-AIKQ,DLH,LH,Lufthansa,KIAH,EDDF,IAH,FRA,2022-10-31 22:25:00.000000 UTC,2022-11-01 08:20:00.000000 UTC
2022-11-01,DLH772,LH772,3C6710,A359,PAX,D-AIXP,DLH,LH,Lufthansa,EDDM,VTBS,MUC,BKK,2022-10-31 21:45:00.000000 UTC,2022-11-01 08:15:00.000000 UTC
2022-11-01,DLH4RL,LH335,3C674D,A320,PAX,D-AIZM,DLH,LH,Lufthansa,LIRN,EDDF,NAP,FRA,2022-11-01 12:45:00.000000 UTC,2022-11-01 14:50:00.000000 UTC
2022-11-01,BAW18B,BA158,4005C1,B772,PAX,G-RAES,BAW,BA,British Airways,TXKF,EGLL,BDA,LHR,2022-11-01 00:05:00.000000 UTC,2022-11-01 06:45:00.000000 UTC
2022-11-01,BAW2032,BA2032,4006C2,B772,PAX,G-VIIP,BAW,BA,British Airways,OTHH,EGKK,DOH,LGW,2022-11-01 22:15:00.000000 UTC,2022-11-02 05:45:00.000000 UTC
2022-11-01,BAW732,BA732,40093F,A319,PAX,G-EUOG,BAW,BA,British Airways,EGLL,LSGG,LHR,GVA,2022-11-01 13:00:00.000000 UTC,2022-11-01 14:40:00.000000 UTC
2022-11-01,BAW972,BA972,405457,A320,PAX,G-EUUW,BAW,BA,British Airways,EGLL,EDDH,LHR,HAM,2022-11-01 19:15:00.000000 UTC,2022-11-01 20:55:00.000000 UTC
2022-11-01,SHT4E,BA849,405A48,A320,PAX,G-EUUZ,BAW,BA,British Airways,LDZA,EGLL,ZAG,LHR,2022-11-01 16:35:00.000000 UTC,2022-11-01 19:10:00.000000 UTC
2022-11-01,SHT6T,BA1482,4075FD,A20N,PAX,G-TTNH,BAW,BA,British Airways,EGLL,EGPF,LHR,GLA,2022-11-01 11:05:00.000000 UTC,2022-11-01 12:35:00.000000 UTC
2022-11-01,CFE93G,BA8730,4079D3,E190,PAX,G-LCAH,CFE,CJ,BA Cityflyer,EGLC,EGPF,LCY,GLA,2022-11-01 20:30:00.000000 UTC,2022-11-01 21:45:00.000000 UTC
2022-11-01,EJU36KU,U21612,440062,A320,PAX,OE-IVF,EJU,U2,easyJet Europe Airline,LPPR,LFMN,OPO,NCE,2022-11-01 07:40:00.000000 UTC,2022-11-01 09:50:00.000000 UTC
2022-11-01,EJU5787,U25787,440088,A320,PAX,OE-IVJ,EJU,U2,easyJet Europe Airline,EDDB,HEGN,SXF,HRG,2022-11-01 06:15:00.000000 UTC,2022-11-01 10:55:00.000000 UTC
2022-11-01,AUA556,OS556,4408DF,A320,PAX,OE-LBZ,AUA,OS,Austrian Airlines,LSZH,LOWW,ZRH,VIE,2022-11-01 11:45:00.000000 UTC,2022-11-01 13:05:00.000000 UTC
2022-11-01,SAS462,SK462,45AC45,A321,PAX,OY-KBE,SAS,SK,Scandinavian Airlines System,EKCH,ENGM,CPH,OSL,2022-11-01 17:15:00.000000 UTC,2022-11-01 18:30:00.000000 UTC
2022-11-01,FIN6Y,AY1751,461F36,A319,PAX,OH-LVI,FIN,AY,Finnair,EFHK,LIMC,HEL,MXP,2022-11-01 06:00:00.000000 UTC,2022-11-01 09:15:00.000000 UTC
2022-11-01,FIN1977,AY1977,461FA7,A321,PAX,OH-LZR,FIN,AY,Finnair,EFHK,LLER,HEL,ETM,2022-11-01 06:00:00.000000 UTC,2022-11-01 11:10:00.000000 UTC
2022-11-01,OAL7ES,OA575,4691C3,A320,PAX,SX-DNC,AEE,A3,Aegean Airlines,LGIR,LGTS,HER,SKG,2022-11-01 15:40:00.000000 UTC,2022-11-01 16:50:00.000000 UTC
2022-11-01,AEE201,A3201,4691C7,A321,PAX,SX-DNG,AEE,A3,Aegean Airlines,LGRP,LGAV,RHO,ATH,2022-11-01 04:40:00.000000 UTC,2022-11-01 05:40:00.000000 UTC
2022-11-01,AEE546,A3546,46B8A5,A20N,PAX,SX-NEE,AEE,A3,Aegean Airlines,LGTS,LCLK,SKG,LCA,2022-11-01 13:30:00.000000 UTC,2022-11-01 15:20:00.000000 UTC
2022-11-01,KLM28K,KL1340,484164,B738,PAX,PH-BXL,KLM,KL,KLM Royal Dutch Airlines,EKBI,EHAM,BLL,AMS,2022-11-01 05:00:00.000000 UTC,2022-11-01 06:15:00.000000 UTC
2022-11-01,KLM97R,KL1861,484F80,E190,PAX,PH-EZX,KLC,WA,KLM Cityhopper,EHAM,EDDL,AMS,DUS,2022-11-01 16:10:00.000000 UTC,2022-11-01 16:55:00.000000 UTC
2022-11-01,KLM538,KL537,4.85E+09,A333,PAX,PH-AKF,KLM,KL,KLM Royal Dutch Airlines,HUEN,EHAM,EBB,AMS,2022-10-31 20:50:00.000000 UTC,2022-11-01 05:20:00.000000 UTC
2022-11-01,LOT6YN,LO3966,489329,DH8D,PAX,SP-EQK,LOT,LO,LOT Polish Airlines,EPLB,EPWA,LUZ,WAW,2022-11-01 14:05:00.000000 UTC,2022-11-01 14:55:00.000000 UTC
2022-11-01,LOT529,LO529,489785,E170,PAX,SP-LDE,LOT,LO,LOT Polish Airlines,EPWA,LKPR,WAW,PRG,2022-11-01 19:20:00.000000 UTC,2022-11-01 20:40:00.000000 UTC
2022-11-01,RYR4269,FR4269,48C224,B738,PAX,SP-RSE,RYS,RR,Ryanair Sun (Poland),LHBP,LLBG,BUD,TLV,2022-11-01 15:20:00.000000 UTC,2022-11-01 18:35:00.000000 UTC
2022-11-01,TAP1712,TP1712,4951D6,A320,PAX,CS-TNV,TAP,TP,TAP Portugal,LPMA,LPPR,FNC,OPO,2022-11-01 22:00:00.000000 UTC,2022-11-01 23:55:00.000000 UTC
